LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
000011,CORTLAND,CORTLAND,CENTRAL NEW YORK,2012-2014,272,19.6%,239,17.2%,511,36.8%,ELEMENTARY,COUNTY,,,,,
000011,CORTLAND,CORTLAND,CENTRAL NEW YORK,2012-2014,137,16%,198,23.1%,335,39.1%,MIDDLE/HIGH,COUNTY,,,,,
000012,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2012-2014,329,18.4%,344,19.3%,673,37.7%,DISTRICT TOTAL,COUNTY,,,,,
000012,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2012-2014,206,18.2%,202,17.9%,408,36.1%,ELEMENTARY,COUNTY,,,,,
000012,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2012-2014,124,19.3%,131,20.3%,255,39.6%,MIDDLE/HIGH,COUNTY,,,,,
000013,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,2091,16.4%,2302,18%,4393,34.4%,DISTRICT TOTAL,COUNTY,,,,,
000013,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,1156,15.7%,1266,17.2%,2422,32.9%,ELEMENTARY,COUNTY,,,,,
000013,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,933,17.3%,1034,19.2%,1967,36.5%,MIDDLE/HIGH,COUNTY,,,,,
000014,ERIE,ERIE,WESTERN NEW YORK,2012-2014,5623,16.5%,5250,15.4%,10873,31.9%,DISTRICT TOTAL,COUNTY,,,,,
000014,ERIE,ERIE,WESTERN NEW YORK,2012-2014,3086,15.5%,2730,13.7%,5816,29.3%,ELEMENTARY,COUNTY,,,,,
000014,ERIE,ERIE,WESTERN NEW YORK,2012-2014,2537,18%,2495,17.7%,5032,35.6%,MIDDLE/HIGH,COUNTY,,,,,
000015,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2012-2014,242,17.1%,272,19.2%,514,36.4%,DISTRICT TOTAL,COUNTY,,,,,
000015,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2012-2014,94,12.8%,130,17.7%,224,30.6%,ELEMENTARY,COUNTY,,,,,
000015,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2012-2014,101,19.5%,98,18.9%,199,38.3%,MIDDLE/HIGH,COUNTY,,,,,
000016,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2012-2014,461,18.3%,566,22.5%,1027,40.8%,DISTRICT TOTAL,COUNTY,,,,,
000016,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2012-2014,283,18.2%,320,20.5%,603,38.7%,ELEMENTARY,COUNTY,,,,,
000016,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2012-2014,178,18.7%,245,25.7%,423,44.4%,MIDDLE/HIGH,COUNTY,,,,,
000017,FULTON,FULTON,NORTHEASTERN NEW YORK,2012-2014,288,15.7%,357,19.5%,645,35.3%,DISTRICT TOTAL,COUNTY,,,,,
000017,FULTON,FULTON,NORTHEASTERN NEW YORK,2012-2014,165,14.6%,199,17.6%,364,32.1%,ELEMENTARY,COUNTY,,,,,
000017,FULTON,FULTON,NORTHEASTERN NEW YORK,2012-2014,116,18.3%,130,20.5%,246,38.7%,MIDDLE/HIGH,COUNTY,,,,,
000018,GENESEE,GENESEE,WESTERN NEW YORK,2012-2014,496,17.7%,495,17.7%,991,35.4%,DISTRICT TOTAL,COUNTY,,,,,
000018,GENESEE,GENESEE,WESTERN NEW YORK,2012-2014,298,17.7%,279,16.5%,577,34.2%,ELEMENTARY,COUNTY,,,,,
000018,GENESEE,GENESEE,WESTERN NEW YORK,2012-2014,195,17.3%,216,19.1%,411,36.4%,MIDDLE/HIGH,COUNTY,,,,,
000019,GREENE,GREENE,NORTHEASTERN NEW YORK,2012-2014,325,16.7%,404,20.8%,729,37.5%,DISTRICT TOTAL,COUNTY,,,,,
000019,GREENE,GREENE,NORTHEASTERN NEW YORK,2012-2014,184,16.1%,220,19.2%,404,35.3%,ELEMENTARY,COUNTY,,,,,
000019,GREENE,GREENE,NORTHEASTERN NEW YORK,2012-2014,140,17.7%,180,22.7%,320,40.4%,MIDDLE/HIGH,COUNTY,,,,,
000020,HAMILTON,HAMILTON,NORTHEASTERN NEW YORK,2012-2014,30,18.3%,30,18.3%,60,36.6%,DISTRICT TOTAL,COUNTY,,,,,
000020,HAMILTON,HAMILTON,NORTHEASTERN NEW YORK,2012-2014,7,17.9%,5,12.8%,12,30.8%,ELEMENTARY,COUNTY,,,,,
000020,HAMILTON,HAMILTON,NORTHEASTERN NEW YORK,2012-2014,,,6,54.5%,6,54.5%,MIDDLE/HIGH,COUNTY,,,,,
000021,HERKIMER,HERKIMER,CENTRAL NEW YORK,2012-2014,549,18.6%,490,16.6%,1039,35.2%,DISTRICT TOTAL,COUNTY,,,,,
000021,HERKIMER,HERKIMER,CENTRAL NEW YORK,2012-2014,286,16.4%,266,15.2%,552,31.6%,ELEMENTARY,COUNTY,,,,,
000021,HERKIMER,HERKIMER,CENTRAL NEW YORK,2012-2014,233,20.6%,208,18.4%,441,39%,MIDDLE/HIGH,COUNTY,,,,,
000022,JEFFERSON,JEFFERSON,CENTRAL NEW YORK,2012-2014,1170,18.5%,1247,19.7%,2417,38.2%,DISTRICT TOTAL,COUNTY,,,,,
000022,JEFFERSON,JEFFERSON,CENTRAL NEW YORK,2012-2014,788,18.6%,786,18.5%,1574,37.1%,ELEMENTARY,COUNTY,,,,,
000022,JEFFERSON,JEFFERSON,CENTRAL NEW YORK,2012-2014,375,18.1%,454,22%,829,40.1%,MIDDLE/HIGH,COUNTY,,,,,
000023,LEWIS,LEWIS,CENTRAL NEW YORK,2012-2014,261,17.9%,331,22.6%,592,40.5%,DISTRICT TOTAL,COUNTY,,,,,
000023,LEWIS,LEWIS,CENTRAL NEW YORK,2012-2014,152,17.3%,195,22.2%,347,39.5%,ELEMENTARY,COUNTY,,,,,
000023,LEWIS,LEWIS,CENTRAL NEW YORK,2012-2014,106,18.8%,130,23%,236,41.8%,MIDDLE/HIGH,COUNTY,,,,,
000024,LIVINGSTON,LIVINGSTON,FINGER LAKES,2012-2014,496,18.4%,514,19.1%,1010,37.5%,DISTRICT TOTAL,COUNTY,,,,,
000024,LIVINGSTON,LIVINGSTON,FINGER LAKES,2012-2014,279,18.7%,266,17.8%,545,36.5%,ELEMENTARY,COUNTY,,,,,
000024,LIVINGSTON,LIVINGSTON,FINGER LAKES,2012-2014,214,18.4%,242,20.8%,456,39.1%,MIDDLE/HIGH,COUNTY,,,,,
000025,MADISON,MADISON,CENTRAL NEW YORK,2012-2014,564,15.9%,681,19.2%,1245,35.1%,DISTRICT TOTAL,COUNTY,,,,,
000025,MADISON,MADISON,CENTRAL NEW YORK,2012-2014,302,16.3%,303,16.4%,605,32.7%,ELEMENTARY,COUNTY,,,,,
000025,MADISON,MADISON,CENTRAL NEW YORK,2012-2014,207,15.1%,276,20.1%,483,35.1%,MIDDLE/HIGH,COUNTY,,,,,
000026,MONROE,MONROE,FINGER LAKES,2012-2014,4698,15.7%,4316,14.5%,9014,30.2%,DISTRICT TOTAL,COUNTY,,,,,
000026,MONROE,MONROE,FINGER LAKES,2012-2014,2421,15.8%,2171,14.2%,4592,30%,ELEMENTARY,COUNTY,,,,,
000026,MONROE,MONROE,FINGER LAKES,2012-2014,2005,16.9%,1785,15.1%,3790,32%,MIDDLE/HIGH,COUNTY,,,,,
000027,MONTGOMERY,MONTGOMERY,NORTHEASTERN NEW YORK,2012-2014,344,16.7%,308,14.9%,652,31.6%,DISTRICT TOTAL,COUNTY,,,,,
000027,MONTGOMERY,MONTGOMERY,NORTHEASTERN NEW YORK,2012-2014,196,16.5%,171,14.4%,367,30.9%,ELEMENTARY,COUNTY,,,,,
000027,MONTGOMERY,MONTGOMERY,NORTHEASTERN NEW YORK,2012-2014,144,16.8%,132,15.4%,276,32.1%,MIDDLE/HIGH,COUNTY,,,,,
000028,NASSAU,NASSAU,NASSAU-SUFFOLK,2012-2014,9812,15.3%,9896,15.5%,19708,30.8%,DISTRICT TOTAL,COUNTY,,,,,
000028,NASSAU,NASSAU,NASSAU-SUFFOLK,2012-2014,5379,14.7%,5898,16.2%,11277,30.9%,ELEMENTARY,COUNTY,,,,,
000028,NASSAU,NASSAU,NASSAU-SUFFOLK,2012-2014,4289,16.3%,3900,14.8%,8189,31%,MIDDLE/HIGH,COUNTY,,,,,
000040,NIAGARA,NIAGARA,WESTERN NEW YORK,2012-2014,1921,17.8%,2164,20.1%,4085,37.9%,DISTRICT TOTAL,COUNTY,,,,,
000040,NIAGARA,NIAGARA,WESTERN NEW YORK,2012-2014,1066,16.8%,1146,18%,2212,34.8%,ELEMENTARY,COUNTY,,,,,
000040,NIAGARA,NIAGARA,WESTERN NEW YORK,2012-2014,844,19.4%,981,22.6%,1825,42%,MIDDLE/HIGH,COUNTY,,,,,
000041,ONEIDA,ONEIDA,CENTRAL NEW YORK,2012-2014,1567,16.8%,1879,20.1%,3446,36.9%,DISTRICT TOTAL,COUNTY,,,,,
000041,ONEIDA,ONEIDA,CENTRAL NEW YORK,2012-2014,969,16.5%,1132,19.3%,2101,35.8%,ELEMENTARY,COUNTY,,,,,
000041,ONEIDA,ONEIDA,CENTRAL NEW YORK,2012-2014,587,17.2%,735,21.5%,1322,38.7%,MIDDLE/HIGH,COUNTY,,,,,
000042,ONONDAGA,ONONDAGA,CENTRAL NEW YORK,2012-2014,3489,16.9%,3739,18.2%,7228,35.1%,DISTRICT TOTAL,COUNTY,,,,,
000042,ONONDAGA,ONONDAGA,CENTRAL NEW YORK,2012-2014,2021,16.8%,2083,17.3%,4104,34.1%,ELEMENTARY,COUNTY,,,,,
000042,ONONDAGA,ONONDAGA,CENTRAL NEW YORK,2012-2014,1460,17%,1637,19%,3097,36%,MIDDLE/HIGH,COUNTY,,,,,
000043,ONTARIO,ONTARIO,FINGER LAKES,2012-2014,854,16.4%,769,14.8%,1623,31.2%,DISTRICT TOTAL,COUNTY,,,,,
000043,ONTARIO,ONTARIO,FINGER LAKES,2012-2014,482,15.8%,411,13.5%,893,29.3%,ELEMENTARY,COUNTY,,,,,
000043,ONTARIO,ONTARIO,FINGER LAKES,2012-2014,358,17.2%,344,16.6%,702,33.8%,MIDDLE/HIGH,COUNTY,,,,,
000044,ORANGE,ORANGE,HUDSON VALLEY,2012-2014,2693,16.8%,3045,19%,5738,35.8%,DISTRICT TOTAL,COUNTY,,,,,
000044,ORANGE,ORANGE,HUDSON VALLEY,2012-2014,1623,16.5%,1825,18.6%,3448,35.1%,ELEMENTARY,COUNTY,,,,,
000044,ORANGE,ORANGE,HUDSON VALLEY,2012-2014,1069,17%,1174,18.7%,2243,35.8%,MIDDLE/HIGH,COUNTY,,,,,
000045,ORLEANS,ORLEANS,WESTERN NEW YORK,2012-2014,344,16.7%,470,22.7%,814,39.4%,DISTRICT TOTAL,COUNTY,,,,,
000045,ORLEANS,ORLEANS,WESTERN NEW YORK,2012-2014,201,15.9%,275,21.8%,476,37.7%,ELEMENTARY,COUNTY,,,,,
000045,ORLEANS,ORLEANS,WESTERN NEW YORK,2012-2014,141,17.8%,195,24.7%,336,42.5%,MIDDLE/HIGH,COUNTY,,,,,
000046,OSWEGO,OSWEGO,CENTRAL NEW YORK,2012-2014,1140,17.4%,1513,23.1%,2653,40.5%,DISTRICT TOTAL,COUNTY,,,,,
000046,OSWEGO,OSWEGO,CENTRAL NEW YORK,2012-2014,655,16.4%,908,22.7%,1563,39.1%,ELEMENTARY,COUNTY,,,,,
000046,OSWEGO,OSWEGO,CENTRAL NEW YORK,2012-2014,485,18.6%,685,26.3%,1170,44.9%,MIDDLE/HIGH,COUNTY,,,,,
000047,OTSEGO,OTSEGO,NORTHEASTERN NEW YORK,2012-2014,416,16.9%,391,15.9%,807,32.9%,DISTRICT TOTAL,COUNTY,,,,,
000047,OTSEGO,OTSEGO,NORTHEASTERN NEW YORK,2012-2014,247,16.5%,198,13.2%,445,29.8%,ELEMENTARY,COUNTY,,,,,
000047,OTSEGO,OTSEGO,NORTHEASTERN NEW YORK,2012-2014,161,17.5%,160,17.4%,321,34.9%,MIDDLE/HIGH,COUNTY,,,,,
000048,PUTNAM,PUTNAM,HUDSON VALLEY,2012-2014,672,16.6%,650,16%,1322,32.6%,DISTRICT TOTAL,COUNTY,,,,,
000048,PUTNAM,PUTNAM,HUDSON VALLEY,2012-2014,369,16.6%,343,15.4%,712,31.9%,ELEMENTARY,COUNTY,,,,,
000048,PUTNAM,PUTNAM,HUDSON VALLEY,2012-2014,298,16.4%,307,16.9%,605,33.3%,MIDDLE/HIGH,COUNTY,,,,,
000049,RENSSELAER,RENSSELAER,NORTHEASTERN NEW YORK,2012-2014,1037,16.1%,1153,18%,2190,34.1%,DISTRICT TOTAL,COUNTY,,,,,
000049,RENSSELAER,RENSSELAER,NORTHEASTERN NEW YORK,2012-2014,589,16.2%,602,16.6%,1191,32.8%,ELEMENTARY,COUNTY,,,,,
000049,RENSSELAER,RENSSELAER,NORTHEASTERN NEW YORK,2012-2014,431,16.4%,533,20.2%,964,36.6%,MIDDLE/HIGH,COUNTY,,,,,
000050,ROCKLAND,ROCKLAND,HUDSON VALLEY,2012-2014,3121,24.5%,1911,15%,5032,39.5%,DISTRICT TOTAL,COUNTY,,,,,
000050,ROCKLAND,ROCKLAND,HUDSON VALLEY,2012-2014,2240,28.3%,1092,13.8%,3332,42.1%,ELEMENTARY,COUNTY,,,,,
000050,ROCKLAND,ROCKLAND,HUDSON VALLEY,2012-2014,877,18.2%,818,17%,1695,35.2%,MIDDLE/HIGH,COUNTY,,,,,
000051,ST.LAWRENCE,ST.LAWRENCE,CENTRAL NEW YORK,2012-2014,938,18.6%,1140,22.5%,2078,41.1%,DISTRICT TOTAL,COUNTY,,,,,
000051,ST.LAWRENCE,ST.LAWRENCE,CENTRAL NEW YORK,2012-2014,573,18.1%,605,19.1%,1178,37.2%,ELEMENTARY,COUNTY,,,,,
000051,ST.LAWRENCE,ST.LAWRENCE,CENTRAL NEW YORK,2012-2014,338,18.3%,519,28.1%,857,46.4%,MIDDLE/HIGH,COUNTY,,,,,
000052,SARATOGA,SARATOGA,NORTHEASTERN NEW YORK,2012-2014,1582,15.6%,1496,14.7%,3078,30.3%,DISTRICT TOTAL,COUNTY,,,,,
000052,SARATOGA,SARATOGA,NORTHEASTERN NEW YORK,2012-2014,888,15.5%,795,13.9%,1683,29.3%,ELEMENTARY,COUNTY,,,,,
000052,SARATOGA,SARATOGA,NORTHEASTERN NEW YORK,2012-2014,699,15.7%,735,16.5%,1434,32.2%,MIDDLE/HIGH,COUNTY,,,,,
000053,SCHENECTADY,SCHENECTADY,NORTHEASTERN NEW YORK,2012-2014,991,15.9%,1174,18.8%,2165,34.7%,DISTRICT TOTAL,COUNTY,,,,,
000053,SCHENECTADY,SCHENECTADY,NORTHEASTERN NEW YORK,2012-2014,576,16%,633,17.6%,1209,33.6%,ELEMENTARY,COUNTY,,,,,
000053,SCHENECTADY,SCHENECTADY,NORTHEASTERN NEW YORK,2012-2014,410,15.5%,541,20.5%,951,36%,MIDDLE/HIGH,COUNTY,,,,,
000054,SCHOHARIE,SCHOHARIE,NORTHEASTERN NEW YORK,2012-2014,251,19.9%,237,18.8%,488,38.7%,DISTRICT TOTAL,COUNTY,,,,,
000054,SCHOHARIE,SCHOHARIE,NORTHEASTERN NEW YORK,2012-2014,142,19.7%,119,16.5%,261,36.3%,ELEMENTARY,COUNTY,,,,,
000054,SCHOHARIE,SCHOHARIE,NORTHEASTERN NEW YORK,2012-2014,84,18.1%,97,21%,181,39.1%,MIDDLE/HIGH,COUNTY,,,,,
000055,SCHUYLER,SCHUYLER,FINGER LAKES,2012-2014,133,19.6%,109,16.1%,242,35.7%,DISTRICT TOTAL,COUNTY,,,,,
000055,SCHUYLER,SCHUYLER,FINGER LAKES,2012-2014,79,19.8%,55,13.8%,134,33.5%,ELEMENTARY,COUNTY,,,,,
000055,SCHUYLER,SCHUYLER,FINGER LAKES,2012-2014,54,20.7%,50,19.2%,104,39.8%,MIDDLE/HIGH,COUNTY,,,,,
000056,SENECA,SENECA,FINGER LAKES,2012-2014,316,17.2%,395,21.4%,711,38.6%,DISTRICT TOTAL,COUNTY,,,,,
000056,SENECA,SENECA,FINGER LAKES,2012-2014,154,17.4%,181,20.5%,335,37.9%,ELEMENTARY,COUNTY,,,,,
000056,SENECA,SENECA,FINGER LAKES,2012-2014,105,17.4%,153,25.3%,258,42.7%,MIDDLE/HIGH,COUNTY,,,,,
000057,STEUBEN,STEUBEN,FINGER LAKES,2012-2014,814,17.2%,903,19.1%,1717,36.2%,DISTRICT TOTAL,COUNTY,,,,,
000057,STEUBEN,STEUBEN,FINGER LAKES,2012-2014,465,16.5%,491,17.4%,956,33.9%,ELEMENTARY,COUNTY,,,,,
000057,STEUBEN,STEUBEN,FINGER LAKES,2012-2014,334,17.9%,403,21.6%,737,39.5%,MIDDLE/HIGH,COUNTY,,,,,
000058,SUFFOLK,SUFFOLK,NASSAU-SUFFOLK,2012-2014,13625,17.2%,14353,18.1%,27978,35.3%,DISTRICT TOTAL,COUNTY,,,,,
000058,SUFFOLK,SUFFOLK,NASSAU-SUFFOLK,2012-2014,7832,16.7%,8678,18.6%,16510,35.3%,ELEMENTARY,COUNTY,,,,,
000058,SUFFOLK,SUFFOLK,NASSAU-SUFFOLK,2012-2014,5790,17.8%,5740,17.6%,11530,35.4%,MIDDLE/HIGH,COUNTY,,,,,
000059,SULLIVAN,SULLIVAN,HUDSON VALLEY,2012-2014,606,17.4%,739,21.2%,1345,38.5%,DISTRICT TOTAL,COUNTY,,,,,
000059,SULLIVAN,SULLIVAN,HUDSON VALLEY,2012-2014,359,16.1%,452,20.3%,811,36.4%,ELEMENTARY,COUNTY,,,,,
000059,SULLIVAN,SULLIVAN,HUDSON VALLEY,2012-2014,241,20.5%,278,23.7%,519,44.2%,MIDDLE/HIGH,COUNTY,,,,,
000060,TIOGA,TIOGA,NEW YORK - PENN,2012-2014,419,18.2%,438,19.1%,857,37.3%,DISTRICT TOTAL,COUNTY,,,,,
000060,TIOGA,TIOGA,NEW YORK - PENN,2012-2014,252,18.5%,244,17.9%,496,36.4%,ELEMENTARY,COUNTY,,,,,
